field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	$N-field2
1067	3	4	5	7	10	12	12	15	20	24	29	33	37	40	46	48	51	53	57	61		3.618
1068	4	1	3	6	8	8	11	16	20	25	29	33	36	42	44	47	49	53	57	60		4.001
1069	1	2	5	7	7	10	15	19	24	28	32	35	41	43	46	48	52	56	59	62		-0.435
1070	2	3	5	5	8	13	17	22	26	30	33	39	41	44	46	50	54	57	60	63		0.563
1071	3	2	2	5	10	14	19	23	27	30	36	38	41	43	47	51	54	57	60	63		2.760
1072	2	0	3	8	12	17	21	25	28	34	36	39	41	45	49	52	55	58	61	64		2.633
1073	0	3	8	12	17	21	25	28	34	36	39	41	45	49	52	55	58	61	64	66		3.111
1074	3	5	9	14	18	22	25	31	33	36	38	42	46	49	52	55	58	61	63	65		2.412
1075	5	4	9	13	17	20	26	28	31	33	37	41	44	47	50	53	56	58	60	64		4.602
1076	4	5	9	13	16	22	24	27	29	33	37	40	43	46	49	52	54	56	60	62		3.298
1077	5	4	8	11	17	19	22	24	28	32	35	38	41	44	47	49	51	55	57	59		4.316
1078	4	4	7	13	15	18	20	24	28	31	34	37	40	43	45	47	51	53	55	58		1.901
1079	4	3	9	11	14	16	20	24	27	30	33	36	39	41	43	47	49	51	54	57		3.946
1080	3	6	8	11	13	17	21	24	27	30	33	36	38	40	44	46	48	51	54	55		5.583
1081	6	2	5	7	11	15	18	21	24	27	30	32	34	38	40	42	45	48	49	50		5.939
1082	2	3	5	9	13	16	19	22	25	28	30	32	36	38	40	43	46	47	48	51		1.342
1083	3	2	6	10	13	16	19	22	25	27	29	33	35	37	40	43	44	45	48	51		3.630
1084	2	4	8	11	14	17	20	23	25	27	31	33	35	38	41	42	43	46	49	54		2.236
1085	4	4	7	10	13	16	19	21	23	27	29	31	34	37	38	39	42	45	50	55		1.343
1086	4	3	6	9	12	15	17	19	23	25	27	30	33	34	35	38	41	46	51	55		3.901
1087	3	3	6	9	12	14	16	20	22	24	27	30	31	32	35	38	43	48	52	56		3.442
1088	3	3	6	9	11	13	17	19	21	24	27	28	29	32	35	40	45	49	53	55		2.704
1089	3	3	6	8	10	14	16	18	21	24	25	26	29	32	37	42	46	50	52	53		3.005
1090	3	3	5	7	11	13	15	18	21	22	23	26	29	34	39	43	47	49	50	53		3.351
1091	3	2	4	8	10	12	15	18	19	20	23	26	31	36	40	44	46	47	50	53		2.484
1092	2	2	6	8	10	13	16	17	18	21	24	29	34	38	42	44	45	48	51	54		3.120
1093	2	4	6	8	11	14	15	16	19	22	27	32	36	40	42	43	46	49	52	54		1.834
1094	4	2	4	7	10	11	12	15	18	23	28	32	36	38	39	42	45	48	50	53		1.142
1095	2	2	5	8	9	10	13	16	21	26	30	34	36	37	40	43	46	48	51	54		2.249
1096	2	3	6	7	8	11	14	19	24	28	32	34	35	38	41	44	46	49	52	53		2.070
1097	3	3	4	5	8	11	16	21	25	29	31	32	35	38	41	43	46	49	50	51		3.015
1098	3	1	2	5	8	13	18	22	26	28	29	32	35	38	40	43	46	47	48	51		3.080
1099	1	1	4	7	12	17	21	25	27	28	31	34	37	39	42	45	46	47	50	54		0.897
1100	1	3	6	11	16	20	24	26	27	30	33	36	38	41	44	45	46	49	53	56		1.291
1101	3	3	8	13	17	21	23	24	27	30	33	35	38	41	42	43	46	50	53	57		3.224
1102	3	5	10	14	18	20	21	24	27	30	32	35	38	39	40	43	47	50	54	57		3.316
1103	5	5	9	13	15	16	19	22	25	27	30	33	34	35	38	42	45	49	52	55		4.993
1104	5	4	8	10	11	14	17	20	22	25	28	29	30	33	37	40	44	47	50	52		5.237
1105	4	4	6	7	10	13	16	18	21	24	25	26	29	33	36	40	43	46	48	52		2.030
1106	4	2	3	6	9	12	14	17	20	21	22	25	29	32	36	39	42	44	48	51		3.615
1107	2	1	4	7	10	12	15	18	19	20	23	27	30	34	37	40	42	46	49	52		3.020
1108	1	3	6	9	11	14	17	18	19	22	26	29	33	36	39	41	45	48	51	55		1.509
1109	3	3	6	8	11	14	15	16	19	23	26	30	33	36	38	42	45	48	52	54		3.427
1110	3	3	5	8	11	12	13	16	20	23	27	30	33	35	39	42	45	49	51	55		3.077
1111	3	2	5	8	9	10	13	17	20	24	27	30	32	36	39	42	46	48	52	55		2.805
1112	2	3	6	7	8	11	15	18	22	25	28	30	34	37	40	44	46	50	53	57		1.925
1113	3	3	4	5	8	12	15	19	22	25	27	31	34	37	41	43	47	50	54	58		2.809
1114	3	1	2	5	9	12	16	19	22	24	28	31	34	38	40	44	47	51	55	57		4.616
1115	1	1	4	8	11	15	18	21	23	27	30	33	37	39	43	46	50	54	56	59		0.735
1116	1	3	7	10	14	17	20	22	26	29	32	36	38	42	45	49	53	55	58	59		1.480
1117	3	4	7	11	14	17	19	23	26	29	33	35	39	42	46	50	52	55	56	59		2.208
1118	4	3	7	10	13	15	19	22	25	29	31	35	38	42	46	48	51	52	55	55		4.055
1119	3	4	7	10	12	16	19	22	26	28	32	35	39	43	45	48	49	52	52	57		2.809
1120	4	3	6	8	12	15	18	22	24	28	31	35	39	41	44	45	48	48	53	56		4.063
1121	3	3	5	9	12	15	19	21	25	28	32	36	38	41	42	45	45	50	53	58		2.922
1122	3	2	6	9	12	16	18	22	25	29	33	35	38	39	42	42	47	50	55	58		2.812
1123	2	4	7	10	14	16	20	23	27	31	33	36	37	40	40	45	48	53	56	59		2.741
1124	4	3	6	10	12	16	19	23	27	29	32	33	36	36	41	44	49	52	55	57		5.061
1125	3	3	7	9	13	16	20	24	26	29	30	33	33	38	41	46	49	52	54	58		2.932
