field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	$N-field2
1672	1	2	2	3	5	7	9	11	13	16	18	21	23	25	29	30	33	36	38	40		1.216
1673	2	0	1	3	5	7	9	11	14	16	19	21	23	27	28	31	34	36	38	41		1.902
1674	0	1	3	5	7	9	11	14	16	19	21	23	27	28	31	34	36	38	41	44		1.265
1675	1	2	4	6	8	10	13	15	18	20	22	26	27	30	33	35	37	40	43	45		0.905
1676	2	2	4	6	8	11	13	16	18	20	24	25	28	31	33	35	38	41	43	46		2.028
1677	2	2	4	6	9	11	14	16	18	22	23	26	29	31	33	36	39	41	44	47		1.148
1678	2	2	4	7	9	12	14	16	20	21	24	27	29	31	34	37	39	42	45	47		1.980
1679	2	2	5	7	10	12	14	18	19	22	25	27	29	32	35	37	40	43	45	46		2.256
1680	2	3	5	8	10	12	16	17	20	23	25	27	30	33	35	38	41	43	44	47		2.566
1681	3	2	5	7	9	13	14	17	20	22	24	27	30	32	35	38	40	41	44	45		2.119
1682	2	3	5	7	11	12	15	18	20	22	25	28	30	33	36	38	39	42	43	45		2.587
1683	3	2	4	8	9	12	15	17	19	22	25	27	30	33	35	36	39	40	42	44		3.414
1684	2	2	6	7	10	13	15	17	20	23	25	28	31	33	34	37	38	40	42	45		2.518
1685	2	4	5	8	11	13	15	18	21	23	26	29	31	32	35	36	38	40	43	45		1.371
1686	4	1	4	7	9	11	14	17	19	22	25	27	28	31	32	34	36	39	41	42		4.187
1687	1	3	6	8	10	13	16	18	21	24	26	27	30	31	33	35	38	40	41	44		1.664
1688	3	3	5	7	10	13	15	18	21	23	24	27	28	30	32	35	37	38	41	43		1.737
1689	3	2	4	7	10	12	15	18	20	21	24	25	27	29	32	34	35	38	40	43		2.095
1690	2	2	5	8	10	13	16	18	19	22	23	25	27	30	32	33	36	38	41	42		1.810
1691	2	3	6	8	11	14	16	17	20	21	23	25	28	30	31	34	36	39	40	43		1.668
1692	3	3	5	8	11	13	14	17	18	20	22	25	27	28	31	33	36	37	40	43		2.797
1693	3	2	5	8	10	11	14	15	17	19	22	24	25	28	30	33	34	37	40	42		3.064
1694	2	3	6	8	9	12	13	15	17	20	22	23	26	28	31	32	35	38	40	43		2.434
1695	3	3	5	6	9	10	12	14	17	19	20	23	25	28	29	32	35	37	40	42		3.053
1696	3	2	3	6	7	9	11	14	16	17	20	22	25	26	29	32	34	37	39	42		2.967
1697	2	1	4	5	7	9	12	14	15	18	20	23	24	27	30	32	35	37	40	41		1.450
1698	1	3	4	6	8	11	13	14	17	19	22	23	26	29	31	34	36	39	40	41		0.819
1699	3	1	3	5	8	10	11	14	16	19	20	23	26	28	31	33	36	37	38	38		2.846
1700	1	2	4	7	9	10	13	15	18	19	22	25	27	30	32	35	36	37	37	39		1.133
1701	2	2	5	7	8	11	13	16	17	20	23	25	28	30	33	34	35	35	37	38		2.054
1702	2	3	5	6	9	11	14	15	18	21	23	26	28	31	32	33	33	35	36	36		2.193
1703	3	2	3	6	8	11	12	15	18	20	23	25	28	29	30	30	32	33	33	34		3.567
1704	2	1	4	6	9	10	13	16	18	21	23	26	27	28	28	30	31	31	32	36		2.075
1705	1	3	5	8	9	12	15	17	20	22	25	26	27	27	29	30	30	31	35	37		0.832
1706	3	2	5	6	9	12	14	17	19	22	23	24	24	26	27	27	28	32	34	39		2.941
1707	2	3	4	7	10	12	15	17	20	21	22	22	24	25	25	26	30	32	37	39		2.125
1708	3	1	4	7	9	12	14	17	18	19	19	21	22	22	23	27	29	34	36	36		1.879
1709	1	3	6	8	11	13	16	17	18	18	20	21	21	22	26	28	33	35	35	39		0.857
1710	3	3	5	8	10	13	14	15	15	17	18	18	19	23	25	30	32	32	36	37		3.746
1711	3	2	5	7	10	11	12	12	14	15	15	16	20	22	27	29	29	33	34	36		2.422
1712	2	3	5	8	9	10	10	12	13	13	14	18	20	25	27	27	31	32	34	36		1.937
1713	3	2	5	6	7	7	9	10	10	11	15	17	22	24	24	28	29	31	33	36		2.288
1714	2	3	4	5	5	7	8	8	9	13	15	20	22	22	26	27	29	31	34	35		1.483
1715	3	1	2	2	4	5	5	6	10	12	17	19	19	23	24	26	28	31	32	34		3.394
1716	1	1	1	3	4	4	5	9	11	16	18	18	22	23	25	27	30	31	33	35		0.954
1717	1	0	2	3	3	4	8	10	15	17	17	21	22	24	26	29	30	32	34	36		4.554
1718	0	2	3	3	4	8	10	15	17	17	21	22	24	26	29	30	32	34	36	38		4.233
1719	2	1	1	2	6	8	13	15	15	19	20	22	24	27	28	30	32	34	36	38		1.940
1720	1	0	1	5	7	12	14	14	18	19	21	23	26	27	29	31	33	35	37	38		1.231
1721	0	1	5	7	12	14	14	18	19	21	23	26	27	29	31	33	35	37	38	41		0.836
1722	1	4	6	11	13	13	17	18	20	22	25	26	28	30	32	34	36	37	40	43		1.149
1723	4	2	7	9	9	13	14	16	18	21	22	24	26	28	30	32	33	36	39	42		4.192
1724	2	5	7	7	11	12	14	16	19	20	22	24	26	28	30	31	34	37	40	42		1.896
1725	5	2	2	6	7	9	11	14	15	17	19	21	23	25	26	29	32	35	37	39		0.102
1726	2	0	4	5	7	9	12	13	15	17	19	21	23	24	27	30	33	35	37	41		1.602
1727	0	4	5	7	9	12	13	15	17	19	21	23	24	27	30	33	35	37	41	44		1.883
1728	4	1	3	5	8	9	11	13	15	17	19	20	23	26	29	31	33	37	40	41		1.570
1729	1	2	4	7	8	10	12	14	16	18	19	22	25	28	30	32	36	39	40	43		1.323
1730	2	2	5	6	8	10	12	14	16	17	20	23	26	28	30	34	37	38	41	42		1.841
